Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Rainfall(mm),Snowfall (cm),weekday_sin,weekday_cos,Hour_sin,Hour_cos,No Holiday,Autumn,Spring,Summer
254,-5.2,37,2.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,1,0,0,0
204,-5.5,38,0.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945,1,0,0,0
173,-6.0,39,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.39435585511331855,0.9189578116202306,1,0,0,0
107,-6.2,40,0.9,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,1,0,0,0
78,-6.0,36,2.3,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.72479278722912,0.6889669190756866,1,0,0,0
100,-6.4,37,1.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,1,0,0,0
181,-6.6,35,1.3,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9377521321470804,0.3473052528448203,1,0,0,0
460,-7.4,38,0.9,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9884683243281114,0.1514277775045767,1,0,0,0
930,-7.6,37,1.1,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9987165071710528,-0.05064916883871264,1,0,0,0
490,-6.5,27,0.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9680771188662043,-0.2506525322587204,1,0,0,0
339,-3.5,24,1.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,1,0,0,0
360,-0.5,21,1.3,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.7907757369376989,-0.6121059825476626,1,0,0,0
449,1.7,23,1.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.758758122692791,1,0,0,0
451,2.4,25,1.6,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.48530196253108104,-0.8743466161445821,1,0,0,0
447,3.0,26,2.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.29936312297335804,-0.9541392564000488,1,0,0,0
463,2.1,36,3.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.10116832198743272,-0.994869323391895,1,0,0,0
484,1.2,54,4.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.10116832198743204,-0.9948693233918952,1,0,0,0
