Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Rainfall(mm),Snowfall (cm),Holiday_Yes,Autumn,Spring,Summer,weekday_sin,weekday_cos,Hour_sin,Hour_cos
254,-5.2,37,2.2,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0
204,-5.5,38,0.8,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945
173,-6.0,39,1.0,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.39435585511331855,0.9189578116202306
107,-6.2,40,0.9,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763
78,-6.0,36,2.3,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.72479278722912,0.6889669190756866
100,-6.4,37,1.5,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624
181,-6.6,35,1.3,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9377521321470804,0.3473052528448203
460,-7.4,38,0.9,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9884683243281114,0.1514277775045767
930,-7.6,37,1.1,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9987165071710528,-0.05064916883871264
490,-6.5,27,0.5,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.9680771188662043,-0.2506525322587204
339,-3.5,24,1.2,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344
360,-0.5,21,1.3,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.7907757369376989,-0.6121059825476626
449,1.7,23,1.4,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.758758122692791
451,2.4,25,1.6,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.48530196253108104,-0.8743466161445821
447,3.0,26,2.0,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.29936312297335804,-0.9541392564000488
463,2.1,36,3.2,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,0.10116832198743272,-0.994869323391895
484,1.2,54,4.2,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.10116832198743204,-0.9948693233918952
555,0.8,58,1.6,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488
862,0.6,66,1.4,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.4853019625310808,-0.8743466161445822
600,0.0,77,1.7,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911
426,-0.3,79,1.5,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.7907757369376986,-0.6121059825476627
405,-0.8,81,0.8,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.8978045395707417,-0.44039415155763423
398,-0.9,83,1.5,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.9680771188662041,-0.2506525322587213
323,-1.3,84,1.0,0.0,0.0,0,0,0,0,-0.433883739117558,-0.9009688679024191,-0.9987165071710528,-0.05064916883871355
328,-1.8,87,1.1,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0
308,-2.2,86,0.6,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945
262,-2.9,86,1.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306
167,-3.5,81,2.2,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763
89,-3.8,79,2.0,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866
79,-4.0,79,1.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8486442574947509,0.5289640103269624
70,-4.3,82,2.1,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203
146,-4.4,81,2.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9884683243281114,0.1514277775045767
219,-4.2,79,2.1,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9987165071710528,-0.05064916883871264
328,-2.9,68,1.6,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.9680771188662043,-0.2506525322587204
334,-0.4,57,1.6,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344
388,1.9,49,1.8,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626
479,4.3,41,1.3,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.6513724827222223,-0.758758122692791
606,6.0,36,1.8,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821
611,7.3,35,1.3,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.29936312297335804,-0.9541392564000488
589,7.6,41,2.3,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,0.10116832198743272,-0.994869323391895
618,6.4,48,2.6,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.10116832198743204,-0.9948693233918952
572,6.0,51,2.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.2993631229733582,-0.9541392564000488
489,5.5,53,1.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.4853019625310808,-0.8743466161445822
385,5.0,52,2.3,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.651372482722222,-0.7587581226927911
359,4.6,51,1.2,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627
377,4.1,55,1.2,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.8978045395707417,-0.44039415155763423
354,3.5,54,1.5,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.9680771188662041,-0.2506525322587213
366,4.0,56,1.0,0.0,0.0,0,0,0,0,-0.9749279121818236,-0.2225209339563146,-0.9987165071710528,-0.05064916883871355
342,4.0,58,1.4,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.0,1.0
227,3.9,69,1.7,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.20129852008866006,0.9795299412524945
228,3.3,79,1.4,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.39435585511331855,0.9189578116202306
117,3.4,71,1.6,0.5,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.5712682150947923,0.8207634412072763
76,3.5,73,1.0,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.72479278722912,0.6889669190756866
32,3.9,75,1.9,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624
13,3.4,86,2.5,1.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.9377521321470804,0.3473052528448203
22,3.1,91,1.2,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.9884683243281114,0.1514277775045767
85,3.2,92,1.8,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.9987165071710528,-0.05064916883871264
152,3.5,91,1.8,2.5,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.9680771188662043,-0.2506525322587204
200,4.4,89,2.2,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.8978045395707416,-0.4403941515576344
273,5.1,87,1.4,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.7907757369376989,-0.6121059825476626
333,5.8,85,1.7,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791
495,6.8,81,1.9,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.48530196253108104,-0.8743466161445821
563,7.6,76,1.2,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.29936312297335804,-0.9541392564000488
621,8.0,73,1.6,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,0.10116832198743272,-0.994869323391895
598,7.6,77,1.6,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.10116832198743204,-0.9948693233918952
545,6.7,82,1.5,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.2993631229733582,-0.9541392564000488
443,6.0,84,1.9,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.4853019625310808,-0.8743466161445822
422,5.7,85,1.7,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.651372482722222,-0.7587581226927911
397,5.2,87,1.4,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.7907757369376986,-0.6121059825476627
385,4.7,87,1.2,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.8978045395707417,-0.44039415155763423
350,4.3,89,1.8,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9680771188662041,-0.2506525322587213
303,3.9,90,1.3,0.0,0.0,0,0,0,0,-0.7818314824680299,0.6234898018587334,-0.9987165071710528,-0.05064916883871355
285,4.2,88,0.6,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1.0
186,4.3,87,0.5,0.0,0.0,0,0,0,0,0.0,1.0,0.20129852008866006,0.9795299412524945
112,4.4,87,1.8,0.0,0.0,0,0,0,0,0.0,1.0,0.39435585511331855,0.9189578116202306
65,3.6,85,2.3,0.0,0.0,0,0,0,0,0.0,1.0,0.5712682150947923,0.8207634412072763
41,2.8,89,1.5,0.0,0.0,0,0,0,0,0.0,1.0,0.72479278722912,0.6889669190756866
82,2.0,83,2.7,0.0,0.0,0,0,0,0,0.0,1.0,0.8486442574947509,0.5289640103269624
200,1.2,76,3.7,0.1,0.0,0,0,0,0,0.0,1.0,0.9377521321470804,0.3473052528448203
498,0.2,68,3.4,0.0,0.0,0,0,0,0,0.0,1.0,0.9884683243281114,0.1514277775045767
937,-0.8,69,3.5,0.0,0.0,0,0,0,0,0.0,1.0,0.9987165071710528,-0.05064916883871264
509,-1.5,47,4.2,0.0,0.0,0,0,0,0,0.0,1.0,0.9680771188662043,-0.2506525322587204
311,-1.1,40,4.5,0.0,0.0,0,0,0,0,0.0,1.0,0.8978045395707416,-0.4403941515576344
379,-0.5,41,4.1,0.0,0.0,0,0,0,0,0.0,1.0,0.7907757369376989,-0.6121059825476626
393,-0.3,38,4.8,0.0,0.0,0,0,0,0,0.0,1.0,0.6513724827222223,-0.758758122692791
391,0.0,30,5.4,0.0,0.0,0,0,0,0,0.0,1.0,0.48530196253108104,-0.8743466161445821
338,0.1,27,4.5,0.0,0.0,0,0,0,0,0.0,1.0,0.29936312297335804,-0.9541392564000488
341,-0.1,25,5.8,0.0,0.0,0,0,0,0,0.0,1.0,0.10116832198743272,-0.994869323391895
375,-0.2,23,4.7,0.0,0.0,0,0,0,0,0.0,1.0,-0.10116832198743204,-0.9948693233918952
515,-1.3,26,5.3,0.0,0.0,0,0,0,0,0.0,1.0,-0.2993631229733582,-0.9541392564000488
807,-2.1,29,3.9,0.0,0.0,0,0,0,0,0.0,1.0,-0.4853019625310808,-0.8743466161445822
568,-2.9,32,3.2,0.0,0.0,0,0,0,0,0.0,1.0,-0.651372482722222,-0.7587581226927911
398,-3.6,38,3.0,0.0,0.0,0,0,0,0,0.0,1.0,-0.7907757369376986,-0.6121059825476627
397,-4.6,43,4.5,0.0,0.0,0,0,0,0,0.0,1.0,-0.8978045395707417,-0.44039415155763423
353,-5.3,45,2.5,0.0,0.0,0,0,0,0,0.0,1.0,-0.9680771188662041,-0.2506525322587213
248,-5.8,44,2.4,0.0,0.0,0,0,0,0,0.0,1.0,-0.9987165071710528,-0.05064916883871355
216,-6.1,42,2.6,0.0,0.0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0
198,-6.5,41,2.8,0.0,0.0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945
124,-6.8,41,2.5,0.0,0.0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.39435585511331855,0.9189578116202306
62,-6.9,39,2.0,0.0,0.0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.5712682150947923,0.8207634412072763
42,-7.2,34,3.0,0.0,0.0,0,0,0,0,0.7818314824680298,0.6234898018587336,0.72479278722912,0.6889669190756866
